Lizard_ID,Population,Parasites,VentralColor,Sex,Gravid,Mass,SVL
Pm332,RIV,Y,Yellow,M,NA,5,56.24
Pm333,RIV,Y,Yellow,F,Y,6.63,66.13
Pm335,RIV,Y,Yellow,F,Y,5.92,60.23
Pm336,RIV,N,Yellow,F,Y,4.41,55.7
Pm337,RIV,N,Yellow,M,NA,7.08,57.18
Pm340,RIV,Y,White-Yellow,F,N,2.93,50.25
Pm347,RIV,N,White-Yellow,F,Y,3.91,57.86
Pm348,RIV,N,White,F,N,2.76,51.12
Pm350,MTE,Y,Yellow,F,N,3.31,52.14
Pm351,MTE,Y,Yellow,M,NA,7.55,65.12
Pm352,MTE,N,Yellow,F,N,4.63,59.15
Pm353,MTE,Y,White-Yellow,M,NA,9.56,69.58
Pm380,UCP,N,White-Yellow,F,Y,5.11,61.99
Pm408,ALM,N,Yellow,F,Y,4.77,59.55
Pm403,ALM,Y,White,M,NA,9,70.27
Pm402,ALM,N,Yellow,M,NA,7.26,65.6
Pm407,ALM,N,Yellow,F,N,7.08,65.38
Pm381,ALM,N,Yellow,M,NA,7.58,63.42
Pm382,ALM,N,Yellow,M,NA,7.02,62.97
Pm393,ALM,Y,White,F,Y,5.95,64.94
Pm405,ALM,Y,White,F,Y,6.39,68.02
Pm429,FAR,Y,White-Yellow,F,Y,5.75,62.72
Pm430,FAR,Y,Yellow,F,N,3.81,56.42
Pm433,FAR,Y,Yellow,F,N,3.83,56.29
Pm434,FAR,Y,White-Yellow,M,NA,8.27,68.22
Pm435,FAR,Y,Yellow,M,NA,8:40,66.65
Pm436,FAR,Y,Yellow,F,N,4.35,57.07
Pm438,SER,N,Yellow,F,N,3.21,58.28
Pm440,SER,Y,Yellow,F,Y,3,51.1
Pm442,SER,Y,Yellow,F,Y,4.29,57.36
Pm443,SER,Y,Orange,M,NA,5.85,59.41
Pm444,SER,Y,Yellow,F,Y,3.58,53.68
Pm445,SER,Y,Orange,M,NA,4.52,60.56
