ID,Sex,Researcher,SVL,TRUNK,LUS,LUZ,LUM,LUT,RUS,RUZ,RUM,RUT,LLS,LLZ,LLM,LLT,RLS,RLZ,RLM,RLT,PG,SG,HL,HH,HW,TL
Pm356,M,AH,59.51,32.68,5.25,7.28,2.24,6.32,5.25,7.67,2.12,7.38,11.42,9.64,3.62,NA,11.43,10.69,4.09,11,7.04,7.04,15.32,5.62,8.78,123.7
Pm356,M,AH,61.75,33.23,5.34,7.35,2.23,6.78,5.65,7.69,2.18,7.31,11.12,9.69,3.75,NA,11.21,10.76,4.19,10.58,7.13,6.91,15.28,5.39,8.54,120.97
Pm361,M,AH,57.45,28.08,7.12,7.16,2.65,7.31,6.22,6.88,2.45,7.52,12.17,10.22,5.17,11.29,11.6,9.95,4.35,11.55,6.79,6.46,14.89,5.1,8.26,113.26
Pm361,M,AH,57.55,29.25,6.94,7.19,2.82,7.23,6.2,6.84,2.48,6.94,12.48,10.12,5.07,11.09,11.62,10.04,4.42,11.96,6.83,6.38,14.87,5.05,8.24,114.37
Pm352,F,AH,61.3,30.78,5.13,7.13,2.44,5.92,5.46,7.45,2.61,5.65,10.62,9.36,4.81,9.42,10.81,10.65,3.92,9.93,6.69,6.65,12.88,4.67,7.34,118.95
Pm352,F,AH,60.82,31.7,5.69,6.94,2.48,5.47,5.47,7.4,2.38,5.42,10.88,8.8,4.29,9.61,11.14,10.32,3.81,9.97,6.55,6.21,13.03,4.64,7.28,119.89
Pm358,F,AH,60.43,32.19,5.56,6.63,2.51,5.94,5.72,6.57,2.1,5.74,9.88,8.58,4,8.88,10.12,9.28,3.31,10.52,6.98,6.51,13.88,4.95,7.04,104.82
Pm358,F,AH,61.18,32.03,5.46,6.36,2.2,5.64,5.55,6.62,2.22,6.27,10.56,8.36,4.22,10.05,9.97,9.42,3.47,10.34,7.45,6.51,13.8,4.37,6.81,103.21
Pm344,F,AH,52.13,27.24,4.33,5.57,2.18,4.92,4.78,5.81,2.2,5.46,10.02,7.8,3.77,9.07,9.23,7.66,3.33,9.12,5.75,5.09,11.69,3.89,6.21,101.38
Pm344,F,AH,52.67,28.15,4.38,5.45,1.92,5.03,4.56,5.69,2.36,5.39,10.22,7.98,3.63,9.17,8.35,7.7,3.25,8.97,5.63,5.33,12.03,4,6.11,102.24
Pm343,F,AH,58.87,32.33,4.58,7.19,2.56,6.69,5.66,6.88,2.61,5.66,9.08,9,4.09,9.91,10.45,8.68,2.98,9.81,6.63,5.96,13.4,4.38,7.08,96.07
